optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
NonMaxSuppression,10,5,1,center_point_box,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonZero,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonZero,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneHot,11,3,1,axis,int64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OneHot,9,3,1,axis,int64,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optional,15,1,1,type,type_proto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalGetElement,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptionalHasElement,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
PRelu,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRelu,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRelu,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRelu,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRelu,1,2,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pad,13,3,1,mode,str,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pad,11,3,1,mode,str,constant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pad,2,1,1,mode,str,constant,paddings,int64[],,value,float32,0,,,,,,,,,,,,,,,,,,,,,
Pad,1,1,1,mode,str,constant,paddings,int64[],,value,float32,0,,,,,,,,,,,,,,,,,,,,,
Pow,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pow,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pow,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pow,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pow,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
